,Borough,Latitude,Longitude,Neighborhood
0,H1A ,45.667824350000004,-73.50513339569802, Pointe-aux-Trembles
1,H2A ,45.2381816,-73.5699087, Saint-Michel East
2,H3A ,45.5052895,-73.5640756, Downtown Montreal North 
3,H4A ,45.4679674,-73.6289223, Notre-Dame-de-Grâce 
4,H5A ,45.49958275,-73.56491666661734, Place Bonaventure
5,H7A ,45.59314,-73.66641, Duvernay-Est
6,H9A ,45.48423,-73.8064547, Dollard-des-Ormeaux North west
7,H1B ,45.4972159,-73.6103642, Montreal East
8,H2B ,45.55930765,-73.65270165067771, Ahuntsic North
9,H3B ,45.5052895,-73.5640756, Downtown Montreal East
10,H4B ,45.4679674,-73.6289223, Notre-Dame-de-Grâce South west
11,H5B ,45.507423700000004,-73.5644547155236, Place Desjardins
12,H7B ,47.0018865,-70.8129222, Saint-François
13,H9B ,45.48423,-73.8064547, Dollard-des-Ormeaux East
14,H1C ,45.6679644,-73.53685698747795, Rivière-des-Prairies North east
15,H2C ,45.55930765,-73.65270165067771, Ahuntsic Central
16,H3C ,45.48989745,-73.56302767077126, Griffintown
17,H4C ,46.692077,-71.067123, Saint-Henri
18,H7C ,45.6146951,-73.6461458, Saint-Vincent-de-Paul
19,H9C ,45.5073596,-73.88325427258964, LÎle-Bizard North east
20,H1E ,45.6679644,-73.53685698747795, Rivière-des-Prairies South west
21,H2E ,45.558557050000005,-73.61199601529296, Villeray North east
22,H3E ,45.4603625,-73.5459632, LÎle-Des-Soeurs
23,H4E ,45.4557559,-73.5966635, Ville Émard
24,H7E ,45.5935503,-73.6699909, Duvernay
25,H9E ,45.4950421,-73.90344498268641, LÎle-Bizard South west
26,H1G ,45.5938992,-73.6376062, Montréal-Nord North
27,H2G ,45.5507465,-73.5822897, Petite-Patrie North east
28,H3G ,45.5052895,-73.5640756, Downtown Montreal South east
29,H4G ,45.459078,-73.5731774, Verdun North
30,H7G ,45.5572533,-73.67535420152942, Pont-Viau
31,H9G ,45.48423,-73.8064547, Dollard-des-Ormeaux South west
32,H1H ,45.5938992,-73.6376062, Montréal-Nord South
33,H2H ,45.5218361,-73.5821731, Plateau Mont-Royal North
34,H3H ,45.5052895,-73.5640756, Downtown Montreal South west
35,H4H ,45.459078,-73.5731774, Verdun South
36,H7H ,45.6310127,-73.7519982, Auteuil West
37,H9H ,45.4955083,-73.8471749,Pierrefonds
38,H1J ,45.6048982,-73.5466723, Anjou West
39,H2J ,45.5218361,-73.5821731, Plateau Mont-Royal North Central
40,H3J ,45.48836645,-73.57003100632929, Petite-Bourgogne
41,H4J ,45.522935000000004,-73.73728805009411, Cartierville Central
42,H7J ,45.6310127,-73.7519982, Auteuil North east
43,H9J ,45.4529194,-73.8647559, Kirkland
44,H1K ,45.6048982,-73.5466723, Anjou East
45,H3K ,45.4800927,-73.5641763, Pointe-Saint-Charles
46,H4K ,45.522935000000004,-73.73728805009411, Cartierville South west
47,H7K ,45.6310127,-73.7519982, Auteuil South
48,H9K ,45.414543,-73.9603253, Senneville
49,H1L ,45.310444,-73.746051, Mercier North
50,H2L ,-33.76976025,150.73285139837571, Centre-Sud South
51,H3L ,45.55930765,-73.65270165067771, Ahuntsic South west
52,H4L ,45.5088774,-73.6875187, Saint-Laurent  Northeast
53,H7L ,45.6252619,-73.7644341, Sainte-Rose
54,H0M ,45.01772795,-74.54983389886658, Akwesasne
55,H1M ,45.310444,-73.746051, Mercier West
56,H2M ,45.55930765,-73.65270165067771, Ahuntsic East
57,H3M ,45.522935000000004,-73.73728805009411, Cartierville Northeast
58,H4M ,45.5088774,-73.6875187, Saint-Laurent East
59,H7M ,45.60396,-73.7428423, Vimont
60,H1N ,45.310444,-73.746051, Mercier Southeast
61,H2N ,45.55930765,-73.65270165067771, Ahuntsic Southeast
62,H3N ,45.52916265,-73.62996728484705, Parc-Extension
63,H4N ,45.5088774,-73.6875187, Saint-Laurent Northeast
64,H7N ,45.5564172,-73.7005593, Laval-des-Rapides
65,H8N ,45.4325141,-73.6292667, LaSalle Northwest
66,H1P ,45.58671,-73.5969488, Saint-Léonard North
67,H2P ,45.558557050000005,-73.61199601529296, Villeray West
68,H3P ,45.5086157,-73.5903112, Mount Royal North
69,H4P ,45.5086157,-73.5903112, Mount Royal South
70,H7P ,45.5677099,-73.8433046, Fabreville
71,H8P ,45.4325141,-73.6292667, LaSalle Southeast
72,H9P ,45.4453082,-73.7510888, Dorval
73,H1R ,45.58671,-73.5969488, Saint-Léonard West
74,H2R ,45.558557050000005,-73.61199601529296, Villeray Southeast
75,H3R ,45.5086157,-73.5903112, Mount Royal Central
76,H4R ,45.5088774,-73.6875187, Saint-Laurent Central
77,H7R ,45.5248454,-73.8793845, Laval-sur-le-Lac
78,H9R ,45.4566767,-73.8067442, Pointe-Claire
79,H1S ,45.58671,-73.5969488, Saint-Léonard Southeast
80,H2S ,45.5507465,-73.5822897, Petite-Patrie Southwest
81,H3S ,45.4988496,-73.6239598, Côte-des-Neiges North
82,H4S ,45.5088774,-73.6875187, Saint-Laurent Southwest
83,H7S ,45.5384715,-73.7427541, Chomedey Northeast
84,H8S ,45.4486762,-73.7112039, Lachine East
85,H9S ,45.4322014,-73.74201216135505,LÎle-Dorval
86,H1T ,45.5314955,-73.5973383, Rosemont North
87,H2T ,45.5218361,-73.5821731, Plateau Mont-Royal West
88,H3T ,45.4988496,-73.6239598, Côte-des-Neiges Northeast
